City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Kapit,MY,2.0167,112.9333,75.13,98,100,0.29,overcast clouds
216,Yumen,CN,40.2833,97.2,40.15,40,19,7.11,few clouds
217,Wenling,CN,28.3669,121.36,59.92,83,0,5.79,light rain
218,Londiani,KE,-0.165,35.5909,55.8,89,99,7.09,overcast clouds
219,Kostomuksha,RU,64.571,30.5767,41.45,95,100,9.86,overcast clouds
220,Gat,IL,31.61,34.7642,73.4,63,38,5.23,scattered clouds
221,Moose Factory,CA,51.2585,-80.6094,44.58,87,90,8.05,overcast clouds
222,Keetmanshoop,NA,-26.5833,18.1333,81.52,17,0,9.62,clear sky
223,Ntcheu,MW,-14.8203,34.6359,73.17,37,4,0.83,clear sky
224,Araouane,ML,18.9048,-3.5265,91.29,18,98,8.46,overcast clouds
225,Leningradskiy,RU,69.3833,178.4167,-2.24,96,100,5.77,overcast clouds
226,Milkovo,RU,54.7167,158.6167,26.47,86,75,4.63,broken clouds
227,Souillac,MU,-20.5167,57.5167,72.36,76,12,5.28,few clouds
228,Salalah,OM,17.0151,54.0924,82.49,69,0,10.36,clear sky
229,Mahebourg,MU,-20.4081,57.7,72.25,75,43,7.38,scattered clouds
230,Pevek,RU,69.7008,170.3133,-0.15,96,100,9.06,overcast clouds
231,Dunedin,NZ,-45.8742,170.5036,50.5,83,0,1.52,clear sky
232,Bom Jesus,BR,-9.0744,-44.3586,98.58,24,36,3.89,scattered clouds
233,San Vicente,AR,-26.6167,-54.1333,79.97,55,100,2.68,moderate rain
234,Toul,FR,48.6667,5.9167,61.09,88,75,4.61,broken clouds
235,Harper,LR,4.375,-7.7169,78.6,83,100,5.55,light rain
236,Guangyuan,CN,32.442,105.823,58.37,83,100,4.16,light rain
237,Saint George,US,37.1041,-113.5841,77.47,27,8,3.11,clear sky
238,Freeport,US,40.6576,-73.5832,67.32,71,75,8.99,broken clouds
239,Lebyazhye,RU,55.2689,66.4947,33.06,97,100,17.56,light snow
240,Vardo,NO,70.3705,31.1107,39.4,77,56,8.19,broken clouds
241,Kavaratti,IN,10.5669,72.642,82.02,72,92,1.95,overcast clouds
242,Anadyr,RU,64.75,177.4833,3.0,84,100,13.0,overcast clouds
243,Cascais,PT,38.6979,-9.4215,70.5,90,75,3.0,mist
244,Winnemucca,US,40.973,-117.7357,61.25,39,92,3.33,overcast clouds
245,Voi,KE,-3.3945,38.563,77.13,66,84,9.22,broken clouds
246,Chipinge,ZW,-20.1883,32.6236,69.76,44,11,7.81,few clouds
247,Robertsport,LR,6.7533,-11.3686,78.39,83,88,7.76,light rain
248,Destin,US,30.3935,-86.4958,66.2,56,75,9.22,broken clouds
249,Turayf,SA,31.6725,38.6637,70.83,39,98,6.8,overcast clouds
250,Stepnyak,KZ,52.8339,70.7803,34.36,96,100,18.86,light rain
251,Havre-Saint-Pierre,CA,50.2334,-63.5986,54.19,54,19,3.04,few clouds
252,Mount Isa,AU,-20.7333,139.5,74.97,22,98,12.66,overcast clouds
253,Kushima,JP,31.4583,131.2333,63.09,94,100,7.09,overcast clouds
254,Husavik,IS,66.0449,-17.3389,39.11,93,100,12.57,overcast clouds
255,Diu,IN,20.7141,70.9822,76.68,44,56,10.58,broken clouds
256,Asuncion Nochixtlan,MX,17.4667,-97.2333,67.33,62,53,4.43,broken clouds
257,Tilichiki,RU,60.4667,166.1,5.56,95,75,7.63,broken clouds
258,Amos,CA,48.5669,-78.1162,53.58,45,95,6.58,overcast clouds
259,Coolum Beach,AU,-26.5333,153.1,70.34,97,100,1.01,overcast clouds
260,Batagay-Alyta,RU,67.8006,130.4114,-14.01,88,28,4.81,scattered clouds
261,Enfield,AU,-34.8526,138.6026,48.34,84,0,3.44,clear sky
262,Kandila,GR,38.7,20.9333,59.97,58,0,7.45,clear sky
263,Ninghai,CN,29.2892,121.4247,59.74,84,0,4.97,clear sky
264,Rawson,AR,-43.3002,-65.1023,54.37,61,6,31.65,clear sky
265,Miri,MY,4.4148,114.0089,77.14,94,40,4.61,scattered clouds
266,Hamilton,US,39.1834,-84.5333,58.12,95,100,1.99,overcast clouds
267,Yakeshi,CN,49.2833,120.7333,24.57,48,5,3.98,clear sky
268,Vila Franca Do Campo,PT,37.7167,-25.4333,71.31,93,95,16.87,overcast clouds
269,Rangpo,IN,27.1833,88.5333,61.74,81,3,4.32,clear sky
270,Marsaxlokk,MT,35.8419,14.5431,68.27,76,100,10.38,overcast clouds
271,Xuanzhou,CN,30.9525,118.7553,58.08,72,36,4.18,light rain
272,Rundu,NA,-17.9333,19.7667,83.26,35,96,3.87,overcast clouds
273,Pascagoula,US,30.3658,-88.5561,60.04,62,69,11.45,broken clouds
